# lcdf-typetools texglyphlist.txt, Version 2.33
# Contents: Extensions to the Adobe Glyph List for TeX fonts and
# encodings. We also extend the second field so that it can contain
# multiple Unicode scalar values, separated by commas, analogous to
# otftotfm's "% UNICODING" comments.
###############################################################################
Delta;2206,0394
Ifractur;2111
# FFsmall, FFIsmall, FFLsmall, FIsmall, FLsmall: invalid Unicode
FFsmall;D804
FFIsmall;D807
FFLsmall;D808
FIsmall;D805
FLsmall;D806
# Germandbls: invalid Unicode, used for secondary replacement from EC.enc
Germandbls;D800
# Germandblssmall: invalid Unicode
Germandblssmall;D803
Ng;014A
Omega;2126,03A9
Rfractur;211C
# SS: invalid Unicode, used for secondary replacement from EC.enc
SS;D800
# SSsmall: invalid Unicode
SSsmall;D803
# altselector: invalid Unicode
altselector;D802
angbracketleft;27E8,2329
angbracketright;27E9,232A
arrowbothv;2195
arrowdblbothv;21D5
arrowleftbothalf;21BD
arrowlefttophalf;21BC
arrownortheast;2197
arrownorthwest;2196
arrowrightbothalf;21C1
arrowrighttophalf;21C0
arrowsoutheast;2198
arrowsouthwest;2199
# ascendercompwordmark: taller cwm, invalid Unicode
ascendercompwordmark;D80A
asteriskcentered;2217
bardbl;2225
# capitalcompwordmark: taller cwm, invalid Unicode
capitalcompwordmark;D809
ceilingleft;2308
ceilingright;2309
circlecopyrt;20DD,25CB
circledivide;2298
circledot;2299
circleminus;2296
coproduct;2A3F
# cwm: Unicode for ZWNJ, used for secondary replacement from EC.enc
cwm;200C
dblbracketleft;27E6
dblbracketright;27E7
diamond;2662,2666
diamondmath;22C4
# U+0237 is the proposed allocation for dotless j as of Unicode 4.0
# U+1D6A5 is the mathematical italic version approved in Unicode 5.0
dotlessj;0237,F6BE,1D6A5
emptyset;2205,F638
# emptyslot: invalid Unicode; the user explicitly wants this slot empty
emptyslot;D801
epsilon1;03F5
equivasymptotic;224D
flat;266D
floorleft;230A
floorright;230B
follows;227B
followsequal;227D
greatermuch;226B
heart;2661,2665
interrobang;203D
# interrobangdown: inverted interrobang, invalid Unicode
interrobangdown;D80B
intersectionsq;2293
latticetop;22A4
lessmuch;226A
lscript;2113
natural;266E
negationslash;0338
ng;014B
owner;220B
pertenthousand;2031
# TeX encodings such as 'texmital.enc' disagree with Unicode and the Adobe
# glyph list; in TeX, the "straight" form of phi takes the name "phi",
# whereas the more-common "loopy" form of phi, \varphi, takes the name "phi1".
phi;03D5,03C6
phi1;03C6
pi1;03D6
precedesequal;227C
prime;2032,02B9
rho1;03F1
# ringfitted: a ring character centered on the x-width of A, invalid Unicode
ringfitted;D80D
sharp;266F
similarequal;2243
slurabove;2322
slurbelow;2323
star;22C6
subsetsqequal;2291
supersetsqequal;2292
triangle;25B3
triangleinv;25BD
triangleleft;25B9
triangleright;25C3
turnstileleft;22A2
turnstileright;22A3
# twelveudash: 2/3-em dash; invalid Unicode
twelveudash;D80C
unionmulti;228E
unionsq;2294
vector;20D7
# visualspace: Unicode for OPEN BOX, used for secondary replacement from EC.enc
visualspace;2423
wreathproduct;2240
# -- Marco Kuhlmann reported annoying glyph neologisms in fontinst encodings
# Dbar = Dcroat
Dbar;0110
# compwordmark = cwm
compwordmark;200C
# dbar = dcroat
dbar;0111
# rangedash = endash
rangedash;2013
# hyphenchar = hyphen
hyphenchar;002D
# punctdash = emdash
punctdash;2014
# visiblespace = visualspace
visiblespace;2423
# -- Operator glyphs in Mathematical Pi LT Std
archleftdown;293A
archrightup;293B
arrowrightcurly;219D
between;226C
# bigstar = blackstar
bigstar;2605
complement;2201
# diamond = whitediamond
diamond;25C7
difference;224F
# equaldotleftright = approxequalorimage
equaldotleftright;2252
# equaldotrightleft = imageorapproximatelyequal
equaldotrightleft;2253
equalorsimilar;2242
# equalsdots = geometricallyequal
equalsdots;2251
equalslantorgreater;2A96
equalslantorless;2A95
# followsorcurly = followsequal
followsorcurly;227D
geomequivalent;224E
greaterdbleqlless;2A8C
# greaterdblequal = greateroverequal
greaterdblequal;2267
greaterdot;22D7
# greaterequalless = greaterequalorless
greaterequalless;22DB
greatermuch1;2AA2
greaterorequalslant;2A7E
# greaterorsimilar = greaterorequivalent
greaterorsimilar;2273
hslash;210F
lessdbleqlgreater;2A8B
# lessdblequal = lessoverequal
lessdblequal;2266
lessdot;22D6
# lessequalgreater = lessequalorgreater
lessequalgreater;22DA
lessmuch1;2AA1
lessorequalslant;2A7D
# lessorsimilar = lessorequivalent
lessorsimilar;2272
mapsto1;21A6
measuredangle;2221
nand;22BC
notapproxequal;2249
notcongruent;2247
notequivasymptotic;226D
# notfollows = notsucceeds
notfollows;2281
notgreaterdblequal;E08A
# notgreaterequal = notgreaternorequal
notgreaterequal;2271
notgreaterorequalslant;E0B1
notlessdblequal;E088
# notlessequal = notlessnorequal
notlessequal;2270
notlessorequalslant;E0AF
notsimilar;2241
notsimilarequal;2244
notsubseteql;2288
notsubsetordbleql;E0BD
notsuperseteql;2289
notsupersetordbleql;E0BF
orunderscore;22BB
# periodcentered = dotmath
periodcentered;22C5
perpcorrespond;2A5E
# precedesorcurly = precedesequal
precedesorcurly;227C
sphericalangle;2222
subsetdbl;22D0
subsetdblequal;2AC5
supersetdbl;22D1
supersetdblequal;2AC6
# triangleleft = whiteleftpointingtriangle
triangleleft;25C1
# triangleright = whiterightpointingtriangle
triangleright;25B7
# -- Double-struck, Fraktur and script glyphs
zerodoublestruck;1D7D8
onedoublestruck;1D7D9
twodoublestruck;1D7DA
threedoublestruck;1D7DB
fourdoublestruck;1D7DC
fivedoublestruck;1D7DD
sixdoublestruck;1D7DE
sevendoublestruck;1D7DF
eightdoublestruck;1D7E0
ninedoublestruck;1D7E1
Adoublestruck;1D538
Bdoublestruck;1D539
Cdoublestruck;2102
Ddoublestruck;1D53B
Edoublestruck;1D53C
Fdoublestruck;1D53D
Gdoublestruck;1D53E
Hdoublestruck;210D
Idoublestruck;1D540
Jdoublestruck;1D541
Kdoublestruck;1D542
Ldoublestruck;1D543
Mdoublestruck;1D544
Ndoublestruck;2115
Odoublestruck;1D546
Pdoublestruck;2119
Qdoublestruck;211A
Rdoublestruck;211D
Sdoublestruck;1D54A
Tdoublestruck;1D54B
Udoublestruck;1D54C
Vdoublestruck;1D54D
Wdoublestruck;1D54E
Xdoublestruck;1D54F
Ydoublestruck;1D550
Zdoublestruck;2124
adoublestruck;1D552
bdoublestruck;1D553
cdoublestruck;1D554
ddoublestruck;1D555
edoublestruck;1D556
fdoublestruck;1D557
gdoublestruck;1D558
hdoublestruck;1D559
idoublestruck;1D55A
jdoublestruck;1D55B
kdoublestruck;1D55C
ldoublestruck;1D55D
mdoublestruck;1D55E
ndoublestruck;1D55F
odoublestruck;1D560
pdoublestruck;1D561
qdoublestruck;1D562
rdoublestruck;1D563
sdoublestruck;1D564
tdoublestruck;1D565
udoublestruck;1D566
vdoublestruck;1D567
wdoublestruck;1D568
xdoublestruck;1D569
ydoublestruck;1D56A
